,Fruit Name,Original price,Discounted price,Link
0,Imported Pear (Per 4 Pcs 700-800 Grams),Rs. 200,Rs. 149,fruitboxco.com/collections/daily-fruits/products/imported-pear-per-4-pcs-700-800-grams
1,Apple Shimla (Per 4 Pieces),Rs. 200,Rs. 185,fruitboxco.com/collections/daily-fruits/products/apple-shimla
2,Imported Blueberry (Per Packet - 125 Grams),Rs. 350,Rs. 285,fruitboxco.com/collections/daily-fruits/products/imported-blueberry-per-packet-125-grams
3,Imported Avocado (Per Piece),Rs. 255,Rs. 199,fruitboxco.com/collections/daily-fruits/products/copy-of-hass-avocado-per-piece-200-250-grams
4,Mango Chausa (Per KG),Rs. 235,Rs. 210,fruitboxco.com/collections/daily-fruits/products/mango-chausa
5,Washington Apple (Per 4 Pieces 650-750 Grams),Rs. 365,Rs. 335,fruitboxco.com/collections/daily-fruits/products/washington-apple-per-4-pieces-650-750-grams
6,Indian Pomegranate (Per 2 Pcs 450-500 Grams),Rs. 175,Rs. 155,fruitboxco.com/collections/daily-fruits/products/indian-pomegranate-per-2-pcs-400-500-grams
7,Jamun (Per 500 Grams),Rs. 265,Rs. 235,fruitboxco.com/collections/daily-fruits/products/jamun
8,Banana (Per KG),Rs. 75,Rs. 62,fruitboxco.com/collections/daily-fruits/products/banana-test
9,Muskmelon (Per Piece),Rs. 130,Rs. 99,fruitboxco.com/collections/daily-fruits/products/muskmelon-per-piece
10,Thai Guava (Per Piece 250 Grams),Rs. 115,Rs. 95,fruitboxco.com/collections/daily-fruits/products/thai-guava
11,Sweet Lime (Per KG),Rs. 125,Rs. 105,fruitboxco.com/collections/daily-fruits/products/sweet-lime-mosambi
12,Papaya (Per Piece 1.5-2 KGS),Rs. 160,Rs. 135,fruitboxco.com/collections/daily-fruits/products/papaya-per-piece
13,Watermelon (Per Piece),Rs. 110,Rs. 99,fruitboxco.com/collections/daily-fruits/products/water-melon
14,Indian Nashpati (Per 500 gms),Rs. 70,Rs. 50,fruitboxco.com/collections/daily-fruits/products/indian-nashpati-per-kg
15,Mariposa Plum (500 grams),Rs. 180,Rs. 155,fruitboxco.com/collections/daily-fruits/products/mariposa-plum-500-grams
16,Kerala Avocado (Per Piece 250-300 Grams),Rs. 185,Rs. 155,fruitboxco.com/collections/daily-fruits/products/indian-avocado-per-piece
17,Imported Cherry (Per 500 Grams),Rs. 685,Rs. 645,fruitboxco.com/collections/daily-fruits/products/imported-cherry
18,Green Grapes (Per 500 Grams),Rs. 215,Rs. 190,fruitboxco.com/collections/daily-fruits/products/green-grapes-per-500-grams
19,Indian Pear (Per 500 gms),Rs. 115,Rs. 90,fruitboxco.com/collections/daily-fruits/products/indian-nashpati
20,Imported Malta (Per 4 Pcs 750-800 gms),Rs. 240,Rs. 225,fruitboxco.com/collections/daily-fruits/products/navel-orange
21,Imported Apricot - Afghan (Per 700 Grams),Rs. 320,Rs. 260,fruitboxco.com/collections/daily-fruits/products/indian-apricot
22,Tender Coconut (Per Piece),Rs. 100,Rs. 79,fruitboxco.com/collections/daily-fruits/products/tender-coconut
23,Mango Langra (Per KG),Rs. 215,Rs. 189,fruitboxco.com/collections/daily-fruits/products/mango-langra
24,New Zealand Kiwi - Zespri (Per 2 Pieces),Rs. 135,Rs. 120,fruitboxco.com/collections/daily-fruits/products/new-zealand-kiwi-zespri
25,Grape Fruit (Per Piece) - South Africa,Rs. 135,Rs. 110,fruitboxco.com/collections/daily-fruits/products/grape-fruit
26,Imported Kiwi (Per 2 Pieces),Rs. 115,Rs. 90,fruitboxco.com/collections/daily-fruits/products/imported-kiwi-per-2-pieces
27,Fuji Apple (Per 4 Pcs 750-800 gms),Rs. 385,Rs. 365,fruitboxco.com/collections/daily-fruits/products/fuji-apple
28,Himachal Plum (Per 500 Grams),Rs. 135,Rs. 105,fruitboxco.com/collections/daily-fruits/products/indian-plum
29,New Zealand Kiwi Gold (Per 2 Pieces),Rs. 195,Rs. 155,fruitboxco.com/collections/daily-fruits/products/new-zealand-kiwi-gold-zespri
30,Passion Fruit (Per 500 Grams),Rs. 550,Rs. 495,fruitboxco.com/collections/daily-fruits/products/passion-fruit-per-500-gms
31,Mandarin (Per 500 Grams),Rs. 300,Rs. 265,fruitboxco.com/collections/daily-fruits/products/thai-mandarin
32,Date Crown (Fard),Rs. 210,Rs. 175,fruitboxco.com/collections/daily-fruits/products/date-crown-fard-per-500-gms
33,Dragon Fruit (Per Piece),"Rs. 1,900","Rs. 1,750",fruitboxco.com/collections/daily-fruits/products/dragon-fruit-per-piece-1
34,Gulf Dates,Rs. 405,Rs. 385,fruitboxco.com/collections/daily-fruits/products/gulf-dates
35,Japanese Melon (Per Piece),"Rs. 1,050",Rs. 940,fruitboxco.com/collections/daily-fruits/products/japanese-melon
36,Barari Dates (500 grams),Rs. 650,Rs. 575,fruitboxco.com/collections/daily-fruits/products/barari-dates
37,Red Globe Grapes (500 Grams),"Rs. 1,090",Rs. 945,fruitboxco.com/collections/daily-fruits/products/red-globe-grapes
38,Pomelo (Per Piece),Rs. 290,Rs. 265,fruitboxco.com/collections/daily-fruits/products/pomelo
39,Longan Litchi (Per 500 Grams),Rs. 355,Rs. 320,fruitboxco.com/collections/daily-fruits/products/longan-lychee
40,Medjoul Dates (Per 500 Grams),Rs. 70,Rs. 60,fruitboxco.com/collections/daily-fruits/products/medjoul-dates-per-500-grams
41,Rocket Apple (Per Pack - 2 Pieces),Rs. 110,Rs. 95,fruitboxco.com/collections/daily-fruits/products/copy-of-rocket-apple-per-pack-3-pieces
42,Sun Dried Apricots (Per 200 Grams),Rs. 44,Rs. 35,fruitboxco.com/collections/daily-fruits/products/sun-dried-apricots-per-200-grams
43,Coconut Brown (Per piece),Rs. 115,Rs. 99,fruitboxco.com/collections/daily-fruits/products/coconut-brown-per-piece
44,Pineapple (Per Piece),Rs. 250,Rs. 235,fruitboxco.com/collections/daily-fruits/products/pineapple
